key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
9,18,99,1,11,,0,0,17500
11,4,99,1,8,,2,0,90000
17,7,99,1,15,,1,3,30000
6,14,100,1,14,5,2,1,33000
2,16,100,1,15,2,2,0,25000
24,97,43,3,23,,2,1,22000
8,10,100,1,18,6,2,1,18000
13,15,100,1,9,9,4,0,60000
20,18,101,1,13,,0,0,12000
5,17,101,1,7,4,2,1,25000
3,11,101,1,11,3,1,1,21500
4,12,101,1,,,2,2,22000
1,9,101,1,16,1,2,2,21000
7,19,101,1,2,,3,2,17900
20,9,102,1,3,,3,1,5000
18,13,102,1,12,,1,3,19500
15,7,102,1,14,,2,0,15000
19,5,102,1,16,11,3,1,30000
17,4,102,1,18,,1,0,34000
12,3,102,1,6,8,0,0,35000
11,6,102,1,,,0,0,79900
14,2,102,1,2,10,1,1,38500
16,8,102,1,4,,2,1,30000
10,1,102,1,15,7,2,1,45000
2,11,103,1,,2,1,3,21400
1,16,103,1,9,1,0,0,18000
13,20,103,1,17,9,8,1,72000
7,18,103,1,16,,1,0,19800
5,15,103,1,6,4,1,1,30000
25,34,104,4,24,,3,0,47100
4,19,103,1,12,,2,3,26000
3,17,103,1,8,3,1,2,20000
9,10,103,1,14,,3,4,23300
6,12,103,1,2,5,0,2,34000
8,14,103,1,7,6,1,2,15000
26,25,105,4,25,12,0,0,35900
27,41,105,4,26,13,3,0,36600
28,38,105,4,24,14,1,0,25900
29,44,105,4,27,15,0,4,16200
30,43,105,4,28,,0,0,20400
31,37,105,4,29,16,2,2,38400
32,39,105,4,30,17,2,1,27900
33,40,105,4,31,18,6,0,41600
34,36,106,4,32,19,1,1,44700
35,42,107,4,33,20,3,0,75200
36,44,108,4,34,21,6,0,60000
37,28,108,4,35,,2,1,21400
38,32,108,4,36,22,1,1,37800
39,26,108,4,33,,1,2,27200
40,31,108,4,37,23,1,0,23600
41,30,108,4,25,24,1,3,32500
29,33,108,4,26,15,0,6,14500
42,27,109,4,32,25,6,0,43500
43,35,109,4,38,26,2,2,25600
28,36,1,4,33,14,1,2,25100
44,43,1,4,35,27,2,2,15500
33,39,1,4,32,18,2,0,40900
26,29,1,4,24,12,0,1,35100
32,42,1,4,28,17,1,1,27700
35,41,1,4,31,20,3,0,75100
30,37,2,4,37,,2,2,18100
34,40,2,4,30,19,1,0,41200
31,25,2,4,26,16,1,0,38600
27,38,2,4,34,13,1,0,34700
38,35,4,4,32,22,3,3,36600
36,30,4,4,28,21,4,1,59900
43,32,4,4,24,26,2,1,25300
25,28,4,4,31,,1,1,44200
42,44,4,4,36,25,0,2,49600
40,26,4,4,39,23,1,1,23600
41,33,4,4,33,24,1,3,33000
29,31,4,4,25,15,1,1,15800
37,34,5,4,27,,0,0,27300
39,27,6,4,30,,2,1,27000
